Date,No of Persons,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER
7,293,29.3,4,7.325,1.5,15.69642857,2.7,14.65,1,20.92857143,4.8,37.67142857,2.1,8.371428571,0,26.16071429,7.8,31.39285714,2.4,51.275,6.5,230.2142857,4.9,2.092857143,0.4,41.85714286,1.9,941.7857143,16.8,6.278571429,1.3,41.85714286,3.7,51.275,7.7,1046.428571,10.8,230.2142857,9,10.46428571,1.7,2.616071429,0
1,267,26.7,2,6.675,2.1,14.30357143,2.1,13.35,4.6,19.07142857,2.5,34.32857143,1.6,7.628571429,0,23.83928571,8.2,28.60714286,4.7,46.725,6.5,209.7857143,7.1,1.907142857,0.2,38.14285714,2.4,858.2142857,13,5.721428571,1.9,38.14285714,7.8,46.725,0,953.5714286,13.4,209.7857143,6,9.535714286,2.3,2.383928571,0.3
2,302,30.2,6.5,7.55,3.9,16.17857143,6,15.1,5.6,21.57142857,6.3,38.82857143,3.9,8.628571429,0,26.96428571,13.3,32.35714286,6.2,52.85,9.6,237.2857143,11.7,2.157142857,0.6,43.14285714,6.5,970.7142857,23.8,6.471428571,3.9,43.14285714,12.2,52.85,11.6,1078.571429,19.9,237.2857143,15.8,10.78571429,3.9,2.696428571,1
3,271,27.1,8.5,6.775,4.2,14.51785714,5.7,13.55,8.4,19.35714286,7.9,34.84285714,3.4,7.742857143,0,24.19642857,14.6,29.03571429,7.4,47.425,13,212.9285714,12.1,1.935714286,0.8,38.71428571,5.8,871.0714286,20.1,5.807142857,3.6,38.71428571,11.4,47.425,9.8,967.8571429,14.4,212.9285714,14.5,9.678571429,3.8,2.419642857,1
4,297,29.7,3.2,7.425,2.7,15.91071429,3.7,14.85,3.4,21.21428571,1.3,38.18571429,2.3,8.485714286,0,26.51785714,7.7,31.82142857,2.2,51.975,1.6,233.3571429,9.4,2.121428571,0.3,42.42857143,1.9,954.6428571,13.9,6.364285714,2.9,42.42857143,6.2,51.975,2.3,1060.714286,8,233.3571429,9.2,10.60714286,1.4,2.651785714,0.1
5,258,25.8,6.5,6.45,3.7,13.82142857,4.2,12.9,5.6,18.42857143,5,33.17142857,3.2,7.371428571,0,23.03571429,14.3,27.64285714,7.1,45.15,11.9,202.7142857,12.8,1.842857143,0.5,36.85714286,5.9,829.2857143,23.4,5.528571429,3.6,36.85714286,20.1,45.15,11.8,921.4285714,18.8,202.7142857,12.7,9.214285714,3.1,2.303571429,1
6,279,27.9,1.1,6.975,2.5,14.94642857,2.7,13.95,1.1,19.92857143,1.5,35.87142857,1,7.971428571,0,24.91071429,10.4,29.89285714,4.4,48.825,2.5,219.2142857,9.4,1.992857143,0.3,39.85714286,1.7,896.7857143,9.7,5.978571429,1.7,39.85714286,5.6,48.825,4.4,996.4285714,12.9,219.2142857,6.5,9.964285714,1.2,2.491071429,0.7
7,268,26.8,4.3,6.7,2.4,14.35714286,3.7,13.4,1.3,19.14285714,1.8,34.45714286,1.3,7.657142857,0,23.92857143,4.9,28.71428571,5.6,46.9,4.3,210.5714286,4.8,1.914285714,0.4,38.28571429,3.4,861.4285714,15.3,5.742857143,2.5,38.28571429,7.8,46.9,7.8,957.1428571,10.5,210.5714286,8.7,9.571428571,2.7,2.392857143,0.2
1,254,25.4,8.9,6.35,3,13.60714286,5.7,12.7,7.4,18.14285714,8.6,32.65714286,3.7,7.257142857,0,22.67857143,13.6,27.21428571,6.5,44.45,14,199.5714286,13.1,1.814285714,1.2,36.28571429,4.3,816.4285714,26.3,5.442857143,3.2,36.28571429,12.1,44.45,14.5,907.1428571,21.8,199.5714286,12.5,9.071428571,3.2,2.267857143,1
2,256,25.6,4.4,6.4,2,13.71428571,1.4,12.8,1.8,18.28571429,3.6,32.91428571,1,7.314285714,0,22.85714286,4.7,27.42857143,5.4,44.8,1.1,201.1428571,10.2,1.828571429,0.2,36.57142857,2.2,822.8571429,10.4,5.485714286,1.8,36.57142857,4.1,44.8,3.3,914.2857143,12.7,201.1428571,10.4,9.142857143,1.1,2.285714286,0.6
3,260,26,3.7,6.5,1,13.92857143,2.6,13,4.1,18.57142857,1.8,33.42857143,1.5,7.428571429,0,23.21428571,8.7,27.85714286,3.2,45.5,3.5,204.2857143,4.9,1.857142857,0.3,37.14285714,2.6,835.7142857,16.2,5.571428571,1.1,37.14285714,7.5,45.5,5.4,928.5714286,12.7,204.2857143,8.8,9.285714286,2.3,2.321428571,0.2
4,265,26.5,8.8,6.625,3.2,14.19642857,4.4,13.25,9.3,18.92857143,6.9,34.07142857,3.3,7.571428571,0,23.66071429,14.9,28.39285714,6.6,46.375,12.8,208.2142857,13.6,1.892857143,0.6,37.85714286,6.8,851.7857143,24,5.678571429,3.1,37.85714286,18.7,46.375,10.7,946.4285714,16.7,208.2142857,15,9.464285714,4.4,2.366071429,1
5,302,30.2,4.1,7.55,2.4,16.17857143,2.8,15.1,2.6,21.57142857,2.5,38.82857143,1,8.628571429,0,26.96428571,8.1,32.35714286,3.8,52.85,8.8,237.2857143,10.7,2.157142857,0.1,43.14285714,1.8,970.7142857,15.8,6.471428571,1.6,43.14285714,2.6,52.85,2.1,1078.571429,13.6,237.2857143,9.7,10.78571429,1.6,2.696428571,0.8
6,300,30,6.7,7.5,4.2,16.07142857,7.1,15,9.6,21.42857143,9.3,38.57142857,3.6,8.571428571,0,26.78571429,13,32.14285714,7.6,52.5,12.4,235.7142857,13.5,2.142857143,1,42.85714286,7.7,964.2857143,18.4,6.428571429,3.2,42.85714286,9.5,52.5,8.2,1071.428571,21.9,235.7142857,11.7,10.71428571,4.1,2.678571429,1
7,281,28.1,6.5,7.025,4.9,15.05357143,7.8,14.05,9,20.07142857,5.4,36.12857143,3.6,8.028571429,0,25.08928571,13.1,30.10714286,6.6,49.175,10.6,220.7857143,12.1,2.007142857,0.7,40.14285714,4.1,903.2142857,17.5,6.021428571,3.5,40.14285714,10.2,49.175,12.5,1003.571429,19,220.7857143,15.9,10.03571429,4.1,2.508928571,1
1,253,25.3,7.2,6.325,4.2,13.55357143,8.1,12.65,5.3,18.07142857,8.8,32.52857143,3.1,7.228571429,0,22.58928571,15,27.10714286,8.4,44.275,11.4,198.7857143,13.5,1.807142857,0.5,36.14285714,5.7,813.2142857,22.4,5.421428571,3,36.14285714,12.5,44.275,10.6,903.5714286,16.4,198.7857143,15.4,9.035714286,3,2.258928571,1
2,304,30.4,4.1,7.6,2.6,16.28571429,1,15.2,2.9,21.71428571,1.4,39.08571429,1.9,8.685714286,0,27.14285714,4.8,32.57142857,3.3,53.2,3.5,238.8571429,9.2,2.171428571,0.4,43.42857143,1.1,977.1428571,12.8,6.514285714,2.5,43.42857143,3.8,53.2,6.2,1085.714286,13.1,238.8571429,6.1,10.85714286,1.4,2.714285714,0.2
3,272,27.2,6.9,6.8,4.3,14.57142857,5.4,13.6,7.7,19.42857143,6.9,34.97142857,3.6,7.771428571,0,24.28571429,13.8,29.14285714,6.1,47.6,15.3,213.7142857,12.8,1.942857143,0.6,38.85714286,6.6,874.2857143,26.4,5.828571429,3.4,38.85714286,17.1,47.6,8.8,971.4285714,14.3,213.7142857,11.4,9.714285714,3.5,2.428571429,1
4,299,29.9,4.2,7.475,2.5,16.01785714,2,14.95,2.6,21.35714286,2.7,38.44285714,2.7,8.542857143,0,26.69642857,5.1,32.03571429,5.7,52.325,4.3,234.9285714,8.6,2.135714286,0.1,42.71428571,2.9,961.0714286,15.6,6.407142857,1.7,42.71428571,4.6,52.325,0.9,1067.857143,7.3,234.9285714,7.8,10.67857143,1.7,2.669642857,0.3
5,254,25.4,7.9,6.35,3.9,13.60714286,4.2,12.7,6.7,18.14285714,6.9,32.65714286,3,7.257142857,0,22.67857143,12.8,27.21428571,8.4,44.45,10.5,199.5714286,13.5,1.814285714,1,36.28571429,6.4,816.4285714,18.8,5.442857143,3.8,36.28571429,10.9,44.45,8.7,907.1428571,18.6,199.5714286,13.9,9.071428571,3,2.267857143,1
6,255,25.5,2.4,6.375,1.6,13.66071429,3.6,12.75,4.8,18.21428571,1.7,32.78571429,2.2,7.285714286,0,22.76785714,9.2,27.32142857,3.8,44.625,1.2,200.3571429,6.5,1.821428571,0.3,36.42857143,2.5,819.6428571,12,5.464285714,2.4,36.42857143,6.3,44.625,5.9,910.7142857,13.1,200.3571429,8,9.107142857,2.5,2.276785714,0.1
7,284,28.4,8,7.1,4.5,15.21428571,8.7,14.2,6.4,20.28571429,7.2,36.51428571,3.3,8.114285714,0,25.35714286,14.7,30.42857143,8,49.7,10.5,223.1428571,12.6,2.028571429,1.2,40.57142857,6.8,912.8571429,25.6,6.085714286,3.8,40.57142857,14.3,49.7,13.4,1014.285714,18.1,223.1428571,14.7,10.14285714,5.6,2.535714286,1
1,268,26.8,6.9,6.7,3.1,14.35714286,5.9,13.4,7.3,19.14285714,6.9,34.45714286,3.6,7.657142857,0,23.92857143,12,28.71428571,8.7,46.9,9.6,210.5714286,13,1.914285714,0.7,38.28571429,7.3,861.4285714,20.3,5.742857143,3.2,38.28571429,8.9,46.9,9.9,957.1428571,20.5,210.5714286,13.1,9.571428571,5.7,2.392857143,1
2,275,27.5,8,6.875,4.2,14.73214286,5,13.75,7.4,19.64285714,9.1,35.35714286,3.6,7.857142857,0,24.55357143,11.3,29.46428571,8.3,48.125,13.6,216.0714286,11.6,1.964285714,0.6,39.28571429,4,883.9285714,22.8,5.892857143,3.6,39.28571429,13.8,48.125,13.3,982.1428571,17.5,216.0714286,15.7,9.821428571,4.3,2.455357143,1
3,295,29.5,5.6,7.375,3.6,15.80357143,7.7,14.75,6.5,21.07142857,8.4,37.92857143,3,8.428571429,0,26.33928571,15.7,31.60714286,8.3,51.625,11.7,231.7857143,11.2,2.107142857,0.6,42.14285714,6.5,948.2142857,27.8,6.321428571,3.8,42.14285714,8.5,51.625,9.9,1053.571429,18,231.7857143,13.9,10.53571429,4.7,2.633928571,1
4,271,27.1,8.9,6.775,3.5,14.51785714,5.1,13.55,6,19.35714286,7.7,34.84285714,3.2,7.742857143,0,24.19642857,12.9,29.03571429,7.2,47.425,12.8,212.9285714,11.5,1.935714286,1,38.71428571,7.6,871.0714286,18.1,5.807142857,3,38.71428571,20.7,47.425,14.9,967.8571429,17.7,212.9285714,14.8,9.678571429,4.3,2.419642857,1
5,300,30,1.9,7.5,1.8,16.07142857,2.2,15,2.9,21.42857143,1.2,38.57142857,2.9,8.571428571,0,26.78571429,9.8,32.14285714,2,52.5,8.9,235.7142857,6.5,2.142857143,0.3,42.85714286,1.8,964.2857143,9.6,6.428571429,2.7,42.85714286,7.9,52.5,3,1071.428571,10.9,235.7142857,7.6,10.71428571,2.3,2.678571429,0.9
6,285,28.5,2.1,7.125,1.1,15.26785714,3,14.25,3,20.35714286,2.5,36.64285714,2.3,8.142857143,0,25.44642857,8.9,30.53571429,5,49.875,7.8,223.9285714,6.4,2.035714286,0.3,40.71428571,2.7,916.0714286,15.1,6.107142857,2.3,40.71428571,2.5,49.875,5.9,1017.857143,11.7,223.9285714,6.6,10.17857143,1.7,2.544642857,0.2
7,266,26.6,8.9,6.65,4.8,14.25,6.2,13.3,7.2,19,8.1,34.2,3.9,7.6,0,23.75,13.8,28.5,6.5,46.55,14.7,209,12.9,1.9,0.9,38,7.8,855,27.1,5.7,3.8,38,12.4,46.55,12.6,950,15.4,209,14.3,9.5,3.7,2.375,1
1,291,29.1,8.2,7.275,3.3,15.58928571,8.6,14.55,6.8,20.78571429,5,37.41428571,3.6,8.314285714,0,25.98214286,15.1,31.17857143,7.6,50.925,10.7,228.6428571,12.5,2.078571429,0.9,41.57142857,7.7,935.3571429,22.7,6.235714286,3.9,41.57142857,10.3,50.925,13.4,1039.285714,17,228.6428571,12.3,10.39285714,5.4,2.598214286,1
2,285,28.5,1.3,7.125,1.9,15.26785714,2.2,14.25,1,20.35714286,2,36.64285714,2,8.142857143,0,25.44642857,6.1,30.53571429,2.8,49.875,8.7,223.9285714,5.1,2.035714286,0.3,40.71428571,1.9,916.0714286,15,6.107142857,1.3,40.71428571,3.1,49.875,0.5,1017.857143,7.3,223.9285714,7.1,10.17857143,1.9,2.544642857,0.5
3,256,25.6,7.5,6.4,4.7,13.71428571,6.3,12.8,9.2,18.28571429,8.9,32.91428571,3.8,7.314285714,0,22.85714286,11.5,27.42857143,7.9,44.8,13.2,201.1428571,13.4,1.828571429,0.7,36.57142857,7.4,822.8571429,19.1,5.485714286,3.6,36.57142857,16.7,44.8,9.3,914.2857143,21.3,201.1428571,11.7,9.142857143,3.1,2.285714286,1
4,256,25.6,6.6,6.4,4.3,13.71428571,7.1,12.8,7.2,18.28571429,9.3,32.91428571,3.1,7.314285714,0,22.85714286,13,27.42857143,6.7,44.8,14,201.1428571,11.1,1.828571429,1,36.57142857,7.7,822.8571429,26.4,5.485714286,3.6,36.57142857,15.1,44.8,9.4,914.2857143,18.6,201.1428571,14.9,9.142857143,5.5,2.285714286,1
5,269,26.9,6.9,6.725,4.9,14.41071429,8.8,13.45,9.7,19.21428571,7.1,34.58571429,3,7.685714286,0,24.01785714,11.9,28.82142857,8.1,47.075,12.9,211.3571429,13.9,1.921428571,1.1,38.42857143,4.9,864.6428571,20.1,5.764285714,3.8,38.42857143,19.5,47.075,11.3,960.7142857,19.8,211.3571429,12.5,9.607142857,3.1,2.401785714,1
6,304,30.4,5.4,7.6,3.6,16.28571429,4.8,15.2,9.6,21.71428571,5.6,39.08571429,3.3,8.685714286,0,27.14285714,12.6,32.57142857,8.1,53.2,13.6,238.8571429,13.4,2.171428571,0.9,43.42857143,7.9,977.1428571,19.1,6.514285714,3,43.42857143,15.5,53.2,11.5,1085.714286,20.9,238.8571429,12.4,10.85714286,3.4,2.714285714,1
7,298,29.8,8.8,7.45,4.7,15.96428571,7.1,14.9,7.4,21.28571429,5.1,38.31428571,3,8.514285714,0,26.60714286,15.8,31.92857143,7.5,52.15,9.4,234.1428571,11.9,2.128571429,1.2,42.57142857,7.8,957.8571429,24.3,6.385714286,3.4,42.57142857,19.6,52.15,8.9,1064.285714,17.6,234.1428571,12.7,10.64285714,3.6,2.660714286,1
1,252,25.2,6,6.3,4.5,13.5,7.2,12.6,8.9,18,9.4,32.4,3.8,7.2,0,22.5,13.2,27,8.6,44.1,12.1,198,13.8,1.8,1.1,36,5.3,810,17.9,5.4,3.4,36,16.1,44.1,13.8,900,17.8,198,14.6,9,4.2,2.25,1
2,272,27.2,4,6.8,1.1,14.57142857,1.2,13.6,1.9,19.42857143,2.2,34.97142857,2.4,7.771428571,0,24.28571429,10.4,29.14285714,5,47.6,3.2,213.7142857,8.3,1.942857143,0.2,38.85714286,1.1,874.2857143,10.8,5.828571429,2.5,38.85714286,2.5,47.6,7.7,971.4285714,12.3,213.7142857,9.4,9.714285714,1.7,2.428571429,0.1
3,301,30.1,7,7.525,4.7,16.125,6.7,15.05,7,21.5,5.6,38.7,3.3,8.6,0,26.875,11.5,32.25,8,52.675,13.7,236.5,12.9,2.15,1,43,4.4,967.5,27.1,6.45,3.7,43,9.8,52.675,12,1075,14.6,236.5,11.3,10.75,5.1,2.6875,1
4,259,25.9,7.3,6.475,4.5,13.875,6.2,12.95,8.8,18.5,9,33.3,3.6,7.4,0,23.125,12.2,27.75,6.8,45.325,13.4,203.5,11.4,1.85,0.6,37,5.6,832.5,17.6,5.55,3.6,37,13.8,45.325,12.9,925,16.7,203.5,12.9,9.25,3.7,2.3125,1
5,285,28.5,6.4,7.125,4.3,15.26785714,5.2,14.25,7.7,20.35714286,5.7,36.64285714,3,8.142857143,0,25.44642857,12.8,30.53571429,6.4,49.875,11.3,223.9285714,11.9,2.035714286,0.9,40.71428571,4.5,916.0714286,25.9,6.107142857,3.3,40.71428571,18.9,49.875,14.4,1017.857143,18.6,223.9285714,14.4,10.17857143,3.1,2.544642857,1
6,260,26,4.5,6.5,1,13.92857143,2.7,13,4,18.57142857,1.4,33.42857143,2.6,7.428571429,0,23.21428571,9.7,27.85714286,5.6,45.5,3.5,204.2857143,4.6,1.857142857,0.3,37.14285714,1.6,835.7142857,10.3,5.571428571,2.5,37.14285714,6.5,45.5,1.3,928.5714286,10,204.2857143,6.6,9.285714286,2.6,2.321428571,0.5
7,256,25.6,2.3,6.4,2.3,13.71428571,3.3,12.8,1.5,18.28571429,1.1,32.91428571,2.2,7.314285714,0,22.85714286,8.5,27.42857143,2.9,44.8,6.3,201.1428571,4.7,1.828571429,0.3,36.57142857,1.4,822.8571429,9,5.485714286,1.8,36.57142857,6.2,44.8,3.6,914.2857143,10.6,201.1428571,7.7,9.142857143,1.2,2.285714286,0.2
1,285,28.5,5.6,7.125,4.2,15.26785714,5.8,14.25,6,20.35714286,9.4,36.64285714,3.8,8.142857143,0,25.44642857,11.5,30.53571429,8.5,49.875,13.6,223.9285714,13.9,2.035714286,0.9,40.71428571,5.7,916.0714286,27.1,6.107142857,3.6,40.71428571,18.7,49.875,10.7,1017.857143,19.7,223.9285714,15.4,10.17857143,3.7,2.544642857,1
2,250,25,7.7,6.25,3.5,13.39285714,5.6,12.5,9,17.85714286,5.9,32.14285714,3.1,7.142857143,0,22.32142857,13.5,26.78571429,7.6,43.75,14.7,196.4285714,12.8,1.785714286,0.6,35.71428571,4.4,803.5714286,22.7,5.357142857,3,35.71428571,13.5,43.75,12.3,892.8571429,18.3,196.4285714,14.3,8.928571429,3.5,2.232142857,1
3,304,30.4,5.7,7.6,4.5,16.28571429,5.6,15.2,8.2,21.71428571,6.2,39.08571429,3.5,8.685714286,0,27.14285714,14.2,32.57142857,8.5,53.2,15.1,238.8571429,11.3,2.171428571,1.1,43.42857143,7.2,977.1428571,25.5,6.514285714,3.2,43.42857143,18.8,53.2,9,1085.714286,16.4,238.8571429,14.6,10.85714286,3.8,2.714285714,1
4,289,28.9,8.2,7.225,3.2,15.48214286,8.4,14.45,7,20.64285714,8.5,37.15714286,3.7,8.257142857,0,25.80357143,13.2,30.96428571,6.7,50.575,14.2,227.0714286,11.1,2.064285714,0.9,41.28571429,4.3,928.9285714,26.6,6.192857143,3.5,41.28571429,12.9,50.575,13.7,1032.142857,14.5,227.0714286,13.7,10.32142857,5.1,2.580357143,1
5,252,25.2,7.8,6.3,4.9,13.5,7.2,12.6,5.9,18,7.9,32.4,3.9,7.2,0,22.5,12.4,27,8.1,44.1,13.7,198,12.5,1.8,0.8,36,4.4,810,17.5,5.4,3,36,15.8,44.1,14.1,900,17.8,198,15.3,9,5.5,2.25,1
6,305,30.5,2.3,7.625,1.2,16.33928571,1.5,15.25,4,21.78571429,1.6,39.21428571,2.1,8.714285714,0,27.23214286,7.2,32.67857143,3,53.375,5.9,239.6428571,7.4,2.178571429,0.1,43.57142857,2.1,980.3571429,16,6.535714286,2.1,43.57142857,3.4,53.375,3,1089.285714,7.9,239.6428571,10.5,10.89285714,2.7,2.723214286,0.1
7,290,29,5.9,7.25,4.2,15.53571429,6,14.5,6.2,20.71428571,8.6,37.28571429,3.5,8.285714286,0,25.89285714,14.6,31.07142857,6.6,50.75,15.5,227.8571429,12.8,2.071428571,1,41.42857143,7.9,932.1428571,21.4,6.214285714,3.5,41.42857143,20.9,50.75,14.8,1035.714286,17.5,227.8571429,15.3,10.35714286,3.7,2.589285714,1
1,300,30,6.4,7.5,4.2,16.07142857,8,15,8.2,21.42857143,9.2,38.57142857,3.2,8.571428571,0,26.78571429,13,32.14285714,7.8,52.5,11.8,235.7142857,12,2.142857143,1,42.85714286,6.6,964.2857143,26.3,6.428571429,3.5,42.85714286,20.8,52.5,14.4,1071.428571,14.9,235.7142857,15.2,10.71428571,4.7,2.678571429,1
2,257,25.7,6.9,6.425,3.2,13.76785714,8.9,12.85,8.7,18.35714286,8.8,33.04285714,3.6,7.342857143,0,22.94642857,13,27.53571429,7.7,44.975,10.9,201.9285714,11.6,1.835714286,0.9,36.71428571,4.5,826.0714286,22.2,5.507142857,3.9,36.71428571,18.9,44.975,8,917.8571429,14.4,201.9285714,15.2,9.178571429,3.3,2.294642857,1
3,271,27.1,6.6,6.775,3.9,14.51785714,6.7,13.55,5.4,19.35714286,6.4,34.84285714,3.1,7.742857143,0,24.19642857,11.2,29.03571429,6.2,47.425,12.8,212.9285714,11.5,1.935714286,0.9,38.71428571,7.9,871.0714286,19.1,5.807142857,3.4,38.71428571,8,47.425,8,967.8571429,16.1,212.9285714,12.2,9.678571429,5.2,2.419642857,1
4,289,28.9,5.1,7.225,3.9,15.48214286,4.5,14.45,8.6,20.64285714,5.6,37.15714286,3.4,8.257142857,0,25.80357143,15,30.96428571,8.8,50.575,13.3,227.0714286,13.9,2.064285714,1.1,41.28571429,7,928.9285714,27.4,6.192857143,3.4,41.28571429,17.9,50.575,11.6,1032.142857,16.5,227.0714286,15.8,10.32142857,4.6,2.580357143,1
5,267,26.7,5.9,6.675,3.6,14.30357143,6.8,13.35,6.2,19.07142857,6.3,34.32857143,3.2,7.628571429,0,23.83928571,15.4,28.60714286,8.1,46.725,15.5,209.7857143,12.3,1.907142857,1.2,38.14285714,7.3,858.2142857,21.5,5.721428571,3.7,38.14285714,18.1,46.725,14.3,953.5714286,18.5,209.7857143,14.6,9.535714286,4,2.383928571,1
6,258,25.8,6.6,6.45,4,13.82142857,4.2,12.9,6,18.42857143,6.4,33.17142857,3.1,7.371428571,0,23.03571429,11.8,27.64285714,8.4,45.15,11.8,202.7142857,12.4,1.842857143,1,36.85714286,4.1,829.2857143,20,5.528571429,3.9,36.85714286,13.8,45.15,10.4,921.4285714,17.6,202.7142857,15.9,9.214285714,5.8,2.303571429,1
7,265,26.5,8.8,6.625,4.3,14.19642857,7.6,13.25,7.4,18.92857143,5,34.07142857,3.7,7.571428571,0,23.66071429,15.1,28.39285714,7,46.375,14.4,208.2142857,11.1,1.892857143,0.6,37.85714286,6.7,851.7857143,22.2,5.678571429,3,37.85714286,12.7,46.375,12.8,946.4285714,16.1,208.2142857,14.9,9.464285714,4.1,2.366071429,1
1,287,28.7,3.8,7.175,2.9,15.375,2.7,14.35,1,20.5,1.3,36.9,1.6,8.2,0,25.625,5.6,30.75,4.6,50.225,5.6,225.5,9.8,2.05,0.2,41,3.4,922.5,12.8,6.15,2.4,41,2.6,50.225,4.9,1025,9.7,225.5,10,10.25,1.1,2.5625,0.4
2,273,27.3,8.8,6.825,4.3,14.625,4.9,13.65,6,19.5,8.2,35.1,3.6,7.8,0,24.375,11.8,29.25,6.5,47.775,14.6,214.5,13.5,1.95,0.8,39,7,877.5,17.3,5.85,3.1,39,20.9,47.775,9,975,18.4,214.5,15.8,9.75,3.5,2.4375,1
3,288,28.8,8.9,7.2,4.7,15.42857143,6.2,14.4,6.2,20.57142857,9.2,37.02857143,3.4,8.228571429,0,25.71428571,11.6,30.85714286,7.3,50.4,14.1,226.2857143,13.5,2.057142857,1,41.14285714,4.8,925.7142857,17.2,6.171428571,3.2,41.14285714,10.6,50.4,14.5,1028.571429,21.3,226.2857143,13.8,10.28571429,4,2.571428571,1
4,279,27.9,4.4,6.975,2.7,14.94642857,3.9,13.95,3.7,19.92857143,2.4,35.87142857,2.7,7.971428571,0,24.91071429,9.4,29.89285714,2.2,48.825,7.5,219.2142857,6.9,1.992857143,0.2,39.85714286,1.1,896.7857143,15.9,5.978571429,2.3,39.85714286,3.3,48.825,5.6,996.4285714,11.7,219.2142857,8.4,9.964285714,2.2,2.491071429,0.1
5,261,26.1,5.2,6.525,3.7,13.98214286,6.7,13.05,6.5,18.64285714,6.6,33.55714286,3.6,7.457142857,0,23.30357143,15.8,27.96428571,6.3,45.675,13.1,205.0714286,12.2,1.864285714,0.5,37.28571429,4.3,838.9285714,26.4,5.592857143,3.2,37.28571429,19.6,45.675,11.4,932.1428571,18.1,205.0714286,13.7,9.321428571,4.8,2.330357143,1
6,262,26.2,5.1,6.55,3.7,14.03571429,7.7,13.1,7.5,18.71428571,6.7,33.68571429,3.4,7.485714286,0,23.39285714,14.5,28.07142857,8.6,45.85,9.8,205.8571429,13.6,1.871428571,1,37.42857143,5.5,842.1428571,21.6,5.614285714,3.9,37.42857143,15,45.85,11.9,935.7142857,21.5,205.8571429,11.6,9.357142857,3.8,2.339285714,1
7,255,25.5,8.9,6.375,4.3,13.66071429,6.7,12.75,6.2,18.21428571,7.6,32.78571429,3.1,7.285714286,0,22.76785714,14.3,27.32142857,8.1,44.625,13.8,200.3571429,13.3,1.821428571,0.8,36.42857143,6.5,819.6428571,23.8,5.464285714,3.1,36.42857143,10.2,44.625,13.9,910.7142857,14.8,200.3571429,15.4,9.107142857,4.4,2.276785714,1
1,252,25.2,3.9,6.3,1.2,13.5,3.9,12.6,1.3,18,3.4,32.4,2,7.2,0,22.5,9.3,27,5.4,44.1,6.5,198,6.1,1.8,0.3,36,2.3,810,13.4,5.4,2.9,36,2.4,44.1,0.6,900,10.2,198,7.2,9,2.8,2.25,0.1
2,289,28.9,2.4,7.225,2.5,15.48214286,2.7,14.45,4.3,20.64285714,1.9,37.15714286,2.6,8.257142857,0,25.80357143,9,30.96428571,3.4,50.575,8.9,227.0714286,9.3,2.064285714,0.3,41.28571429,3.5,928.9285714,9.1,6.192857143,2.2,41.28571429,2.4,50.575,5.9,1032.142857,12,227.0714286,10.6,10.32142857,2.2,2.580357143,0.3
3,301,30.1,8.4,7.525,4.2,16.125,8.4,15.05,6.9,21.5,6,38.7,3.4,8.6,0,26.875,11.9,32.25,7.9,52.675,10.6,236.5,13.7,2.15,0.5,43,7.4,967.5,23.1,6.45,3,43,19,52.675,10,1075,16.1,236.5,15.4,10.75,3.2,2.6875,1
4,257,25.7,7.6,6.425,3.5,13.76785714,4.7,12.85,7,18.35714286,9,33.04285714,3.6,7.342857143,0,22.94642857,14,27.53571429,6.5,44.975,15.8,201.9285714,12.7,1.835714286,0.5,36.71428571,7.8,826.0714286,26.1,5.507142857,3.4,36.71428571,19.7,44.975,8.5,917.8571429,20.7,201.9285714,13.1,9.178571429,4.2,2.294642857,1
5,289,28.9,7.5,7.225,4.5,15.48214286,4.5,14.45,8,20.64285714,9.5,37.15714286,3.7,8.257142857,0,25.80357143,13.9,30.96428571,7.2,50.575,11.4,227.0714286,12.4,2.064285714,0.6,41.28571429,6,928.9285714,27.9,6.192857143,3.2,41.28571429,8.6,50.575,14.9,1032.142857,21.9,227.0714286,14.1,10.32142857,5.4,2.580357143,1
6,273,27.3,5.2,6.825,3.5,14.625,4.7,13.65,8.7,19.5,9.3,35.1,3,7.8,0,24.375,11.2,29.25,7.4,47.775,10.4,214.5,13.7,1.95,1.1,39,4.5,877.5,27.1,5.85,3.6,39,18.9,47.775,10.6,975,16.4,214.5,12.9,9.75,3.2,2.4375,1
7,298,29.8,8,7.45,4.6,15.96428571,7.2,14.9,8.6,21.28571429,8.9,38.31428571,3.8,8.514285714,0,26.60714286,14.5,31.92857143,6.7,52.15,15.1,234.1428571,13.3,2.128571429,1.2,42.57142857,5.3,957.8571429,24,6.385714286,3.3,42.57142857,15.2,52.15,8.5,1064.285714,18.7,234.1428571,13.2,10.64285714,3.8,2.660714286,1
